L,sig,w,alpha_q0,err0,alpha_q04,err04,alpha_q05,err05,alpha_q06,err06,alpha_q08,err08,alpha_q15,err15
100,0.01,0.01,1.0030165579877044,0.00010195008012427702,1.0006229670230415,9.81217783675768e-5,1.0000314047258236,0.00012205428444881747,0.9994138292510314,0.00013114212618271103,0.9981969307349072,0.00013626028257880175,0.9937106095305172,0.00027342199392022177
100,0.01,0.1,1.787436461506546,0.018935319955050274,1.1541579266163202,0.02489149279759238,0.9608089909661356,0.023802839351044137,0.7773284260090232,0.01913025702293263,0.4911530726224376,0.01536281637815127,0.16931367481853038,0.006560111256493514
100,0.01,0.15,1.8578184495223207,0.01642908060398652,1.154848348756279,0.021128831885156178,0.9394543970493427,0.021244884101456574,0.7453409267438234,0.020930182874209696,0.4645343312050614,0.011809206253674683,0.16222441483887823,0.0068489946281756805
100,0.01,0.2,1.8840781747436057,0.014976632349698045,1.1515520399556096,0.02307631512965158,0.9328337710334484,0.02150555052695846,0.7367530779054714,0.017815835728572482,0.4516517549415739,0.015086324701560383,0.15749807726240986,0.006748901749127503
100,0.01,0.22,1.8849949194938498,0.017471101161774447,1.1500745689318561,0.021803388435478764,0.9325511339467666,0.020499867872479954,0.7365496126533544,0.018995934346657025,0.4567920727406953,0.014210799124132891,0.16138052637978043,0.006914013457023254
100,0.01,0.24,1.8862947621190929,0.018666844934407276,1.1491449611203575,0.0208310526054507,0.9343888979677404,0.021140748664777477,0.7384750474187486,0.018344492626079897,0.4516092916985221,0.014616920679105704,0.1596034836190986,0.007363011137938286
100,0.01,0.26,1.8895859874588878,0.01628442337671264,1.1535196378210986,0.02427168762694988,0.9324607512016958,0.022149522003572075,0.7401394650057513,0.02026817905068309,0.45534327415238346,0.013407018797285796,0.1599269362404481,0.007351556727441987
100,0.01,0.28,1.8855617226159285,0.017142108685261708,1.1467941535520827,0.022626207211879062,0.9339182172425592,0.020884651277787505,0.7392603380774577,0.01963938159551267,0.4568326252226842,0.01370510326347433,0.16326831179640475,0.008202781303956809
100,0.01,0.3,1.8877366417232917,0.022542906868763434,1.150489718076834,0.025197174638600335,0.9336170120941667,0.01954460343760385,0.7376418775353284,0.018665355088257292,0.45453607789234374,0.01368802832247674,0.16375685623969083,0.00661509887485002
100,0.01,0.32,1.8855997900925772,0.015687659032779997,1.1477510412104543,0.020486207444020486,0.9312721205320001,0.01944991304771066,0.7394689062821862,0.01884395742993716,0.4582164545456056,0.01204958589855202,0.16496474222145618,0.007503031162327531
100,0.01,0.34,1.8835657769118088,0.018401021875292155,1.1477064352192665,0.022017059608488668,0.9309512720254065,0.018036301367968906,0.7404408686821085,0.01567168037000957,0.46038627925174785,0.014737414053313433,0.16527701045219678,0.007887659921075455
100,0.01,0.36,1.8799063264210423,0.016296005528926072,1.147617107127644,0.021298585540580697,0.929545731936787,0.02252885121383859,0.7428311084160241,0.01729281322066895,0.4634250906061681,0.013278996146613924,0.17102615183394526,0.007293912832710606
100,0.01,0.38,1.8780218821136845,0.016603870812170296,1.1486328547031952,0.020307771159997646,0.9297763273968112,0.020682943449199832,0.7404752060679534,0.017233448736292244,0.46144629204889,0.013985844190986646,0.167925427986659,0.006683492802692361
100,0.01,0.4,1.8714486815795903,0.015781011161779088,1.1432020946657404,0.020729688461844562,0.9327517122855589,0.017077148281024634,0.7470900568276846,0.018794793258013875,0.46442569576166826,0.01308604969228708,0.17000342773880958,0.008404679684862014
100,0.01,0.42,1.868776960805056,0.018021792890193906,1.1435279573834922,0.020018078920023122,0.9361841411490951,0.019661630269763697,0.7436567954261164,0.02008555101902738,0.47019786573803607,0.01457370525700276,0.17153335844527848,0.007154149745439979
100,0.01,0.44,1.8636216874008225,0.01649286519277815,1.1402479421556075,0.020307065977276287,0.930871619705503,0.020684812440837943,0.7447048347718958,0.018246222697953948,0.4669902150118454,0.01425456820452626,0.17179072543553695,0.00716403046775959
100,0.01,0.46,1.861388190657311,0.017093049920131203,1.1457362184675106,0.02501698383850413,0.9355168611114228,0.020775772220302285,0.7447943950933333,0.01494686735538349,0.47374309102087203,0.012819132726308555,0.17862221235651737,0.006920362821241103
100,0.01,0.48,1.84759702052387,0.016302051230267813,1.1427797066880934,0.018913476455832075,0.9382007665940612,0.021247924152070084,0.7539369265611462,0.01907208362885506,0.4787973434787892,0.014884306815263868,0.1811347021425453,0.006725001006869357
100,0.01,0.5,1.8542688515943373,0.016765535828476803,1.1455739964377794,0.020462952523870728,0.9384067034217379,0.019649227680345556,0.7522458929712366,0.017704083448973312,0.4800945740691521,0.013612040308848489,0.18168359159313863,0.006978696936880954
